emoticon,label
[心],happiness
[爱你],happiness
[哈哈],happiness
[doge],happiness
[怒],anger
[笑cry],happiness
[偷笑],happiness
[嘻嘻],happiness
[蜡烛],sadness
[微笑],anger
[拜拜],anger
[吃惊],surprise
[摊手],anger
[喵喵],happiness
[汗],anger
[鼓掌],happiness
[抓狂],anger
[害羞],happiness
[太开心],happiness
[悲伤],sadness
[怒骂],anger
[衰],anger
[鲜花],happiness
[思考],none
[哼],anger
[good],happiness
[可怜],sadness
[污],none
[可爱],happiness
[鄙视],anger
[弱],anger
[色],happiness
[威武],happiness
[羞嗒嗒],happiness
[赞],happiness
[亲亲],happiness
[兔子],happiness
[给力],happiness
[晕],sadness
[生病],sadness
[馋嘴],happiness
[好爱哦],happiness
[绿丝带],happiness
[吐],anger
[花心],happiness
[疑问],surprise
[话筒],none
[蛋糕],happiness
[噢耶],happiness
[伤心],sadness
[阴险],happiness
[偷乐],happiness
[挤眼],happiness
[抱抱],happiness
[笑哈哈],happiness
[委屈],sadness
[黑线],anger
[奥特曼],happiness
[失望],sadness
[加油],happiness
[泪流满面],sadness
[太阳],happiness
[熊猫],happiness
[哆啦A梦花心],happiness
[舔屏],happiness
[耶],happiness
[哆啦A梦吃惊],happiness
[好喜欢],happiness
[蠟燭],sadness
[白眼],none
[月亮],happiness
[微风],happiness
[作揖],happiness
[奥运金牌],happiness
[哆啦A梦微笑],happiness
[haha],happiness
[淚],sadness
[握手],happiness
[爱心传递],happiness
[得意地笑],happiness
[坏笑],happiness
[愤怒],anger
[闭嘴],anger
[崩溃],anger
[求关注],happiness
[玫瑰],happiness
[懒得理你],none
[右哼哼],anger
[互粉],happiness
[浮云],anger
[傻眼],surprise
[礼物],happiness
[猪头],anger
[愛你],happiness
[赞啊],happiness
[哆啦A梦汗],anger
[震惊],surprise
[ok],happiness
[音乐],happiness
[好棒],happiness
[不好意思],happiness
[许愿],happiness
[钱],happiness
[左哼哼],anger
