word,emotion,intensity,polarity
脏乱,NN,7.0,2.0
糟报,NN,5.0,2.0
早衰,NE,5.0,2.0
责备,NN,5.0,2.0
贼眼,NN,5.0,2.0
战祸,ND,5.0,2.0
招灾,NN,5.0,2.0
折辱,NE,5.0,2.0
中山狼,NN,5.0,2.0
清峻,PH,5.0,0.0
清莹,PH,5.0,1.0
轻倩,PH,5.0,1.0
晴丽,PH,5.0,1.0
求索,PH,3.0,1.0
热潮,PH,5.0,1.0
仁政,PH,5.0,1.0
荣名,PH,5.0,1.0
柔腻,PH,5.0,1.0
瑞雪,PA,5.0,1.0
擅名,PD,7.0,1.0
神采,PA,5.0,1.0
省便,PH,5.0,1.0
盛开,PH,5.0,1.0
盛誉,PH,5.0,1.0
诗仙,PH,7.0,1.0
爽脆,PH,5.0,1.0
素洁,PH,3.0,1.0
诪张,NN,5.0,2.0
株连,NN,7.0,2.0
坠毁,NB,5.0,2.0
滋生,NN,5.0,2.0
自恃,NN,5.0,2.0
走后门,NN,5.0,2.0
阻力,NN,3.0,2.0
罪状,NN,9.0,2.0
做戏,NN,7.0,2.0
甜头,PB,5.0,1.0
头名,PH,5.0,1.0
婉妙,PH,3.0,1.0
温淑,PB,1.0,1.0
稳厚,PH,3.0,1.0
沃壤,PH,5.0,1.0
无上,PH,5.0,1.0
喜人,PA,5.0,1.0
先贤,PD,5.0,1.0
鲜妍,PH,5.0,1.0
相称,PH,5.0,1.0
骁骑,PH,3.0,1.0
新巧,PH,5.0,1.0
新意,PH,5.0,1.0
信奉,PG,5.0,1.0
急智,PH,3.0,1.0
技艺,PH,3.0,1.0
雄劲,PH,3.0,1.0
雄肆,PH,3.0,1.0
秀俊,PH,5.0,1.0
煦煦,PH,5.0,1.0
勋绩,PH,5.0,1.0
雅淡,PH,5.0,1.0
雅兴,PH,5.0,1.0
严整,PH,5.0,1.0
泱泱,PH,5.0,1.0
怡悦,PA,5.0,1.0
义诊,PH,5.0,1.0
英发,PH,5.0,1.0
英伟,PH,5.0,1.0
莹润,PH,3.0,1.0
勇健,PH,3.0,1.0
优厚,PH,5.0,1.0
幽雅,PH,5.0,1.0
有识,PH,5.0,1.0
友邻,PH,5.0,1.0
玉人,PH,5.0,1.0
元勋,PH,5.0,1.0
佳句,PH,7.0,1.0
佳趣,PH,5.0,1.0
兼爱,PH,3.0,1.0
坚守,PH,7.0,1.0
简雅,PH,5.0,1.0
荐举,PG,7.0,1.0
见称,PH,7.0,1.0
见闻,PH,1.0,1.0
奖旗,PH,3.0,1.0
奖许,PH,7.0,1.0
姣丽,PH,5.0,1.0
娇丽,PH,5.0,1.0
