word	emotion	emotion-intensity-score
outraged	anger	0.964
brutality	anger	0.959
hatred	anger	0.953
hateful	anger	0.940
terrorize	anger	0.939
infuriated	anger	0.938
violently	anger	0.938
furious	anger	0.929
enraged	anger	0.927
furiously	anger	0.927
screwyou	anger	0.924
murderer	anger	0.922
fury	anger	0.922
execution	anger	0.917
angered	anger	0.916
savagery	anger	0.915
slaughtering	anger	0.914
veryangry	anger	0.913
assassinate	anger	0.912
fuckoff	anger	0.912
annihilation	anger	0.912
rage	anger	0.911
loathe	anger	0.909
damnation	anger	0.906
roadrage	anger	0.906
fucktard	anger	0.906
homicidal	anger	0.906
furor	anger	0.900
hostile	anger	0.898
annihilate	anger	0.898
murder	anger	0.897
raging	anger	0.896
sopissed	anger	0.894
pissed	anger	0.894
rape	anger	0.894
explosive	anger	0.894
obliterated	anger	0.894
vengeful	anger	0.894
ferocious	anger	0.894
infuriates	anger	0.894
killing	anger	0.893
combative	anger	0.891
gofuckyourself	anger	0.886
vengeance	anger	0.886
wrath	anger	0.885
torment	anger	0.885
vicious	anger	0.884
threatening	anger	0.882
massacre	anger	0.882
bloodthirsty	anger	0.875
abhorrent	anger	0.875
pissoff	anger	0.875
fighting	anger	0.868
annihilated	anger	0.865
attacking	anger	0.865
angriest	anger	0.864
bloodshed	anger	0.864
smite	anger	0.862
brawl	anger	0.861
assault	anger	0.859
assassination	anger	0.859
strangle	anger	0.859
explode	anger	0.859
malicious	anger	0.859
tirade	anger	0.859
hostility	anger	0.859
loathsome	anger	0.857
attack	anger	0.853
hell	anger	0.853
murderous	anger	0.853
malice	anger	0.852
terrorism	anger	0.851
beating	anger	0.849
pissingmeoff	anger	0.848
desecration	anger	0.848
outrage	anger	0.848
irate	anger	0.844
tumultuous	anger	0.844
destroying	anger	0.844
violent	anger	0.844
stab	anger	0.844
infuriate	anger	0.844
slaughter	anger	0.844
abomination	anger	0.844
obliterate	anger	0.843
dumbbitch	anger	0.841
belligerent	anger	0.841
detest	anger	0.838
hostilities	anger	0.837
prick	anger	0.835
cruelty	anger	0.833
horrid	anger	0.833
rampage	anger	0.833
rabid	anger	0.833
torture	anger	0.833
satanic	anger	0.828
hate	anger	0.828
hating	anger	0.828
tyrannical	anger	0.828
demonic	anger	0.828
ragemode	anger	0.828
despicable	anger	0.828
ruinous	anger	0.825
condemn	anger	0.825
extermination	anger	0.824
riots	anger	0.824
dickhead	anger	0.824
angry	anger	0.824
demolish	anger	0.824
livid	anger	0.821
madman	anger	0.820
vindictive	anger	0.819
ferocity	anger	0.818
terrorist	anger	0.818
venomous	anger	0.818
threaten	anger	0.818
hateyou	anger	0.818
effyou	anger	0.818
abhor	anger	0.816
carnage	anger	0.814
savage	anger	0.814
atrocity	anger	0.814
fuming	anger	0.812
pissedoff	anger	0.812
pissesmeoff	anger	0.812
fierce	anger	0.812
abuse	anger	0.812
barbaric	anger	0.812
berserk	anger	0.812
fucksake	anger	0.812
vendetta	anger	0.812
angrytweet	anger	0.812
destroyer	anger	0.812
tyrant	anger	0.812
anger	anger	0.811
pieceofshit	anger	0.810
slam	anger	0.803
punching	anger	0.803
homicide	anger	0.803
punched	anger	0.803
bitch	anger	0.803
fights	anger	0.803
destructive	anger	0.797
ruthless	anger	0.797
villainous	anger	0.797
slap	anger	0.791
destroyed	anger	0.788
ragetweet	anger	0.788
slaughterhouse	anger	0.788
retaliatory	anger	0.788
yelling	anger	0.788
riot	anger	0.788
punishing	anger	0.788
growthefuckup	anger	0.788
diabolical	anger	0.788
clash	anger	0.783
manslaughter	anger	0.783
hellish	anger	0.781
bloody	anger	0.781
loath	anger	0.781
quarrel	anger	0.781
detonation	anger	0.781
sinister	anger	0.781
fumin	anger	0.779
hateeee	anger	0.779
treacherous	anger	0.779
accusing	anger	0.779
madder	anger	0.773
retaliate	anger	0.773
revulsion	anger	0.773
horrific	anger	0.773
scorn	anger	0.769
bomb	anger	0.766
deplorable	anger	0.766
anarchist	anger	0.765
devastation	anger	0.765
resent	anger	0.765
firestorm	anger	0.765
contemptible	anger	0.764
shittest	anger	0.760
smash	anger	0.758
deadly	anger	0.758
soangry	anger	0.758
rant	anger	0.758
cruel	anger	0.758
outburst	anger	0.757
snarl	anger	0.754
crazed	anger	0.750
dontmesswithme	anger	0.750
profane	anger	0.750
aggravating	anger	0.750
douchebags	anger	0.750
offend	anger	0.750
horror	anger	0.750
revolting	anger	0.750
despise	anger	0.750
vulgarity	anger	0.750
growling	anger	0.750
stfu	anger	0.750
molestation	anger	0.742
fuckedoff	anger	0.742
erupt	anger	0.742
violence	anger	0.742
horrible	anger	0.742
screaming	anger	0.742
threat	anger	0.742
bastards	anger	0.741
revenge	anger	0.738
menacing	anger	0.735
crushing	anger	0.735
damn	anger	0.735
catastrophe	anger	0.735
demon	anger	0.735
argue	anger	0.734
fedup	anger	0.734
vehement	anger	0.734
thrash	anger	0.734
warfare	anger	0.734
revolt	anger	0.734
flog	anger	0.734
deplore	anger	0.734
persecute	anger	0.734
riotous	anger	0.734
altercation	anger	0.729
warlike	anger	0.728
mutiny	anger	0.727
shitday	anger	0.727
sabotage	anger	0.727
castrate	anger	0.727
strike	anger	0.721
malevolent	anger	0.721
disaster	anger	0.721
disastrous	anger	0.720
disdain	anger	0.719
choke	anger	0.719
arseholes	anger	0.719
devil	anger	0.719
scream	anger	0.719
spiteful	anger	0.719
bastarding	anger	0.719
scorching	anger	0.719
horseshit	anger	0.719
treachery	anger	0.719
slay	anger	0.719
